Site_No,,,,,,,,,,,,,,,,,,,,,,,
Site_No,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dut_No,Site_No,Dut_Pass,SW_Bin,Data_Num,OS_VCC,OS_SW,Vf,Isw,Ivcc,garbage,,Vcc,Vcc1,Icc_5V,Icc_1V,Icc3,Vcc_on,Vcc_off,SW_Freq_debug,BlankingTime,Tbodydiode,Ivcc_GateOn,Iq,
30,0,TRUE,1,17,-0.5065,-0.4777,-0.606,51.121,290.2846,,,4.3843,7.7632,-31.8881,-19.163,82.2982,3.83,3.65,16.4447,3.4,0,1.235,87.209
31,0,TRUE,1,17,-0.5085,-0.4796,-0.605,51.0501,295.0941,,,4.3842,7.7671,-32.1816,-19.51,81.2908,3.82,3.64,21.9298,3.4,0,1.231,86.0715
32,0,TRUE,1,17,-0.5081,-0.4807,-0.605,50.9793,278.8191,,,4.3857,7.7228,-31.9136,-19.529,80.05,3.81,3.64,21.9298,3.4,0,1.209,84.8897
33,0,TRUE,1,17,-0.5069,-0.4813,-0.607,50.5482,281.4277,,,4.3841,7.7523,-30.6896,-18.452,79.598,3.83,3.67,18.7935,3.4,0,1.209,84.2102
34,0,TRUE,1,17,-0.5079,-0.4846,-0.608,51.2037,275.4748,,,4.3854,7.7592,-31.5845,-19.241,79.3883,3.83,3.65,26.3158,3.4,0,1.195,84.1954
35,0,TRUE,1,17,-0.5064,-0.4839,-0.609,51.2716,272.0242,,,4.3853,7.7533,-31.1544,-18.836,80.0884,3.83,3.64,26.3227,3.4,0,1.205,85.0818
36,0,TRUE,1,17,-0.5064,-0.484,-0.609,52.2637,287.0821,,,4.3826,7.7414,-31.5713,-19.102,82.8093,3.82,3.66,21.8818,3.4,0,1.236,87.6078
37,0,TRUE,1,17,-0.5077,-0.4851,-0.609,52.2017,284.5799,,,4.3841,7.7417,-31.9185,-19.231,82.0708,3.82,3.66,23.1428,3.2,0,1.236,86.9283
38,0,TRUE,1,17,-0.5064,-0.483,-0.609,52.4793,273.5309,,,4.3831,7.7123,-32.9068,-20.017,81.4917,3.82,3.65,23.1428,3.2,0,1.231,86.4113
39,0,TRUE,1,17,-0.506,-0.4814,-0.609,52.7716,285.4071,,,4.3853,7.7583,-33.1958,-20.17,82.3012,3.84,3.66,23.1481,3.2,0,1.239,87.5635
40,0,TRUE,1,17,-0.5074,-0.4698,-0.601,52.7273,288.5297,,,4.3856,7.6755,-32.6537,-19.634,82.5228,3.81,3.66,27.7855,3.2,0,1.247,88.051
41,0,TRUE,1,17,-0.5061,-0.464,-0.599,52.5531,281.6374,,,4.3827,7.7023,-32.937,-20.234,82.0294,3.81,3.65,27.7778,3.2,0,1.236,86.5885
42,0,TRUE,1,17,-0.5076,-0.4643,-0.601,52.1633,274.2281,,,4.3846,7.7645,-31.8385,-19.281,81.5331,3.83,3.66,69.4444,3.2,0,1.231,86.4261
43,0,FALSE,3,4,-0.5059,-0.4706,-0.61,61.8249,
