Site_No,,,,,,,,,,,,,,,,,,,,,,,
Site_No,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Dut_No,Site_No,Dut_Pass,SW_Bin,Data_Num,OS_VCC,OS_SW,Vf,Isw,Ivcc,garbage,,Vcc,Vcc1,Icc_5V,Icc_1V,Icc3,Vcc_on,Vcc_off,SW_Freq_debug,BlankingTime,Tbodydiode,Ivcc_GateOn,Iq,
358,0,TRUE,1,17,-0.5079,-0.4786,-0.606,49.5944,285.5666,,,4.3813,7.7529,-31.1255,-18.81,79.985,3.82,3.66,10.9613,3.4,0,1.207,84.7863
359,0,TRUE,1,17,-0.508,-0.4795,-0.606,50.1643,269.5397,,,4.3811,7.7935,-31.1984,-19.102,78.6763,3.84,3.63,26.3227,3.4,0,1.186,83.2648
360,0,TRUE,1,17,-0.5071,-0.4797,-0.607,50.1023,281.6699,,,4.3804,7.7589,-31.4337,-19.188,79.7576,3.82,3.66,26.3158,3.4,0,1.199,84.4761
361,0,TRUE,1,17,-0.5076,-0.4916,-0.616,50.1289,273.206,,,4.3804,7.6831,-31.8632,-19.359,80.4075,3.78,3.65,0,3.4,0,1.215,84.8454
362,0,TRUE,1,17,-0.5073,-0.4964,-0.624,51.0501,274.8426,,,4.3799,7.7832,-31.2598,-18.986,80.5257,3.85,3.66,21.9298,3.4,0,1.209,85.2147
363,0,TRUE,1,17,-0.5082,-0.4838,-0.608,51.9212,295.874,,,4.3778,7.7788,-32.5125,-19.787,82.2805,3.83,3.67,18.797,3.4,0,1.252,87.0613
364,0,TRUE,1,17,-0.5082,-0.4812,-0.608,52.0305,283.4632,,,4.3777,7.774,-32.909,-20.144,81.7428,3.84,3.68,26.3158,3.4,0,1.232,86.2636
365,0,TRUE,1,17,-0.5055,-0.4872,-0.613,52.5708,302.3055,,,4.3774,7.7729,-34.1014,-20.792,82.57,3.82,3.68,27.7701,3.2,0,1.26,87.6078
366,0,TRUE,1,17,-0.5065,-0.4902,-0.616,52.3582,293.874,,,4.3753,7.7482,-33.2119,-20.215,82.8861,3.83,3.68,21.9298,3.4,0,1.253,87.9624
367,0,TRUE,1,17,-0.5077,-0.486,-0.61,51.6023,283.1471,,,4.3779,7.7649,-32.447,-19.818,80.8152,3.84,3.67,21.9298,3.4,0,1.225,85.9238
368,0,TRUE,1,17,-0.5085,-0.4827,-0.608,51.1151,279.1677,,,4.3794,7.6931,-31.9844,-19.508,79.4562,3.81,3.65,0,3.4,0,1.228,84.1807
369,0,TRUE,1,17,-0.5086,-0.4788,-0.605,50.2322,287.6198,,,4.381,7.7685,-31.3712,-18.979,80.4134,3.84,3.66,21.9298,3.4,0,1.219,84.9931
370,0,TRUE,1,17,-0.5083,-0.479,-0.605,50.2204,286.2609,,,4.381,7.7804,-31.4669,-19.145,79.9909,3.83,3.66,26.3158,3.4,0,1.206,84.9931
371,0,TRUE,1,17,-0.5072,-0.4617,-0.601,50.1672,283.5725,,,4.3829,7.7863,-32.1569,-19.692,80.0737,3.83,3.66,17.854,3.6,0,1.206,84.5795
372,0,TRUE,1,17,-0.5082,-0.4655,-0.6,50.622,287.9655,,,4.3827,7.8686,-31.4439,-18.949,80.2184,3.86,3.66,21.9298,3.4,0,1.212,85.1261
373,0,TRUE,1,17,-0.5082,-0.4645,-0.602,51.6791,278.9963,,,4.3814,7.7577,-31.9763,-19.549,80.0353,3.85,3.64,18.797,3.4,0,1.21,84.5057
374,0,TRUE,1,17,-0.5081,-0.463,-0.599,51.5137,283.8295,,,4.3805,7.7374,-32.5041,-19.796,80.2302,3.83,3.66,21.9298,3.4,0,1.219,85.4215
375,0,TRUE,1,17,-0.5073,-0.4638,-0.6,51.4753,312.5095,,,4.3791,7.8555,-33.0628,-20.111,82.2332,3.87,3.67,21.9298,3.4,0,1.252,86.9726
376,0,TRUE,1,17,-0.5066,-0.4633,-0.6,51.1269,283.8915,,,4.3785,7.7834,-32.2685,-19.541,81.0633,3.85,3.65,21.9298,3.4,0,1.214,85.7022
377,0,TRUE,1,17,-0.5074,-0.4623,-0.597,51.0265,278.8279,,,4.3784,7.7849,-31.6903,-19.097,80.0973,3.83,3.66,25,3.6,0,1.205,84.4466
378,0,TRUE,1,17,-0.5086,-0.4672,-0.598,50.8198,272.0479,,,4.3778,7.7477,-32.1877,-19.673,78.892,3.82,3.65,26.3158,3.4,0,1.195,83.5011
379,0,FALSE,3,4,-0.5081,-0.4786,-0.604,500.338
380,0,TRUE,1,17,-0.5083,-0.4808,-0.606,49.9163,290.8695,,,4.3809,7.7549,-31.8253,-19.157,79.6719,3.83,3.64,25,3.6,0,1.205,84.2988
381,0,TRUE,1,17,-0.5078,-0.4798,-0.605,50.4891,265.5751,,,4.38,7.7573,-31.7425,-19.222,78.2538,3.82,3.64,20.8333,3.6,0,1.178,83.0137
382,0,TRUE,1,17,-0.5084,-0.4817,-0.605,50.5895,278.5059,,,4.3791,7.8043,-32.4691,-19.701,80.2746,3.82,3.64,25,3.6,0,1.205,85.2295
383,0,TRUE,1,17,-0.5077,-0.4805,-0.606,50.0019,285.283,,,4.3821,7.7371,-32.3569,-19.718,79.3971,3.82,3.64,17.8571,3.6,0,1.205,84.2693
384,0,TRUE,1,17,-0.5072,-0.479,-0.606,50.6722,289.3363,,,4.3821,7.8082,-31.7542,-19.16,80.2273,3.86,3.66,0,3.6,0,1.22,85.1113
385,0,TRUE,1,17,-0.5069,-0.4754,-0.604,50.9556,284.6449,,,4.3825,7.7523,-31.8416,-19.212,80.3366,3.83,3.65,26.3158,3.4,0,1.207,84.7716
386,0,TRUE,1,17,-0.5067,-0.4807,-0.608,50.371,283.7143,,,4.382,7.7999,-32.1917,-19.501,79.5537,3.85,3.65,20.829,3.6,0,1.207,84.5647
387,0,TRUE,1,17,-0.5087,-0.4789,-0.605,50.3887,287.0172,,,4.3843,7.8023,-32.515,-19.866,79.6808,3.85,3.65,21.9298,3.4,0,1.207,84.4318
388,0,TRUE,1,17,-0.5072,-0.4874,-0.613,50.4655,282.4321,,,4.3809,7.7784,-32.0385,-19.302,79.7546,3.82,3.64,0,3.6,0,1.209,85.1556
389,0,TRUE,1,17,-0.5083,-0.4959,-0.619,50.9173,288.2875,,,4.3811,7.8645,-31.9904,-19.371,80.6054,3.89,3.67,17.8571,3.6,0,1.214,85.4511
390,0,TRUE,1,17,-0.507,-0.4824,-0.609,49.8631,287.6612,,,4.3809,7.7951,-32.2734,-19.739,79.2908,3.85,3.66,0,3.6,0,1.204,83.5455
391,0,TRUE,1,17,-0.5072,-0.4853,-0.61,49.7598,273.8175,,,4.3826,7.7988,-31.7737,-19.394,78.5965,3.85,3.64,0,3.6,0,1.185,83.0727
392,0,TRUE,1,17,-0.5077,-0.4871,-0.611,50.6485,272.9076,,,4.3835,7.7644,-31.8095,-19.442,79.1047,3.82,3.64,18.797,3.4,0,1.194,83.383
393,0,TRUE,1,17,-0.5078,-0.4865,-0.611,51.0915,265.3299,,,4.3833,7.7122,-31.6974,-19.354,77.9436,3.82,3.64,20.8333,3.6,0,1.18,82.6
394,0,TRUE,1,17,-0.5077,-0.4754,-0.602,50.6043,292.323,,,4.3828,7.7839,-32.6476,-19.844,80.762,3.84,3.66,18.797,3.4,0,1.225,85.1852
395,0,TRUE,1,17,-0.5079,-0.4774,-0.603,50.9556,290.8223,,,4.3829,7.7376,-32.3463,-19.799,80.9215,3.81,3.64,65.7895,3.4,0,1.23,85.5545
396,0,TRUE,1,17,-0.5074,-0.4809,-0.606,51.3779,261.7936,,,4.3842,7.6887,-31.6354,-19.287,78.9126,3.8,3.66,23.1481,3.2,0,1.192,83.9443
397,0,TRUE,1,17,-0.5081,-0.4814,-0.607,52.2372,285.67,,,4.3816,7.7592,-32.6374,-19.708,82.0205,3.83,3.67,7.7393,3.4,0,1.234,87.0908
398,0,TRUE,1,17,-0.5078,-0.4818,-0.606,51.2539,272.7037,,,4.3852,7.7672,-32.1245,-19.568,80.1003,3.82,3.66,0,3.4,0,1.212,84.7125
399,0,TRUE,1,17,-0.5066,-0.4821,-0.607,51.0915,274.6004,,,4.3848,7.7866,-31.6505,-19.528,80.1741,3.83,3.66,21.9394,3.4,0,1.21,84.5647
400,0,TRUE,1,17,-0.5077,-0.4903,-0.615,50.9763,291.3304,,,4.3847,7.7084,-30.831,-18.639,80.3071,3.81,3.64,26.3158,3.4,0,1.223,85.0079
401,0,TRUE,1,17,-0.5084,-0.4799,-0.606,50.3267,273.72,,,4.3829,7.7874,-30.6477,-18.631,77.4444,3.83,3.64,25,3.6,0,1.185,82.3637
402,0,TRUE,1,17,-0.5083,-0.4811,-0.606,50.3415,278.048,,,4.3822,7.7835,-31.1851,-19.104,79.1106,3.82,3.64,20.8377,3.6,0,1.191,83.6636
403,0,TRUE,1,17,-0.507,-0.4811,-0.608,50.0078,282.7807,,,4.3819,7.7978,-31.8281,-19.479,78.9954,3.83,3.65,21.9298,3.4,0,1.197,83.0137
404,0,TRUE,1,17,-0.5061,-0.4803,-0.607,50.306,270.7775,,,4.3824,7.7729,-31.6186,-19.423,78.8122,3.84,3.66,26.3227,3.4,0,1.19,83.0284
405,0,TRUE,1,17,-0.5084,-0.4822,-0.607,51.5551,280.6005,,,4.38,7.8225,-32.6903,-20.052,79.6955,3.85,3.67,21.925,3.4,0,1.215,85.0227
406,0,TRUE,1,17,-0.5074,-0.4822,-0.609,51.4901,276.1632,,,4.3791,7.7845,-32.1187,-19.511,80.2096,3.84,3.65,21.9298,3.4,0,1.211,84.8306
407,0,TRUE,1,17,-0.5076,-0.4775,-0.605,50.9881,295.5639,,,4.3783,7.7785,-32.8542,-20.052,80.5907,3.84,3.65,26.3158,3.4,0,1.231,85.3772
408,0,TRUE,1,17,-0.5074,-0.4774,-0.605,50.9497,269.6992,,,4.3792,7.7704,-33.1819,-20.603,78.8329,3.84,3.65,26.3158,3.4,0,1.194,83.3534
409,0,TRUE,1,17,-0.5077,-0.4786,-0.605,50.8198,285.5518,,,4.3779,7.7743,-32.6198,-19.988,79.8107,3.83,3.64,26.3158,3.4,0,1.205,84.4466
410,0,TRUE,1,17,-0.5085,-0.4775,-0.603,50.4212,262.8631,,,4.3801,7.7463,-32.5618,-20.127,78.2657,3.81,3.63,21.9298,3.4,0,1.181,82.6444
411,0,TRUE,1,17,-0.5065,-0.4749,-0.602,50.1938,261.2471,,,4.3817,7.7986,-32.2437,-19.956,77.013,3.86,3.65,25,3.6,0,1.169,81.0046
412,0,TRUE,1,17,-0.5083,-0.4758,-0.602,49.4674,262.671,,,4.3818,7.7149,-31.8704,-19.546,77.9111,3.81,3.63,21.925,3.4,0,1.171,82.1716
413,0,TRUE,1,17,-0.5083,-0.4763,-0.603,50.0166,271.8795,,,4.3806,7.7028,-32.4743,-19.846,79.2524,3.79,3.63,20.8377,3.6,0,1.174,84.1511
414,0,TRUE,1,17,-0.508,-0.4756,-0.603,50.4448,276.2607,,,4.3804,7.7681,-32.3261,-19.7,79.3765,3.81,3.65,25,3.6,0,1.197,84.0625
415,0,TRUE,1,17,-0.508,-0.4727,-0.603,49.8779,270.7687,,,4.384,7.7435,-32.3931,-19.801,79.1224,3.82,3.64,20.8333,3.6,0,1.186,83.383
416,0,TRUE,1,17,-0.5067,-0.4726,-0.604,49.996,278.7334,,,4.3836,7.7923,-32.1999,-19.534,79.0101,3.83,3.65,25,3.6,0,1.192,83.25
417,0,TRUE,1,17,-0.5061,-0.4654,-0.606,50.5511,286.1988,,,4.3828,7.7735,-32.4901,-19.665,80.1091,3.83,3.65,26.3158,3.4,0,1.202,84.6829
418,0,TRUE,1,17,-0.5078,-0.4688,-0.608,50.746,287.5785,,,4.3833,7.8385,-32.4472,-19.697,78.957,3.86,3.66,21.9298,3.4,0,1.21,84.2545
419,0,TRUE,1,17,-0.5076,-0.4676,-0.601,50.306,277.1913,,,4.3843,7.8045,-32.3251,-19.733,78.9126,3.85,3.64,20.8333,3.6,0,1.196,83.9148
420,0,TRUE,1,17,-0.5078,-0.4669,-0.601,50.3031,285.6227,,,4.384,7.8539,-32.4704,-19.694,79.92,3.87,3.65,20.8333,3.6,0,1.208,84.5943
421,0,TRUE,1,17,-0.5073,-0.4652,-0.606,50.3592,292.5121,,,4.3814,7.7836,-32.3806,-19.549,80.2746,3.84,3.64,25,3.6,0,1.212,84.0773
422,0,TRUE,1,17,-0.5086,-0.4682,-0.607,50.3857,289.2713,,,4.3823,7.8024,-32.2657,-19.605,79.5685,3.84,3.65,21.9877,3.4,0,1.2,84.5647
423,0,TRUE,1,17,-0.5081,-0.4702,-0.601,49.5294,281.1204,,,4.3837,7.7645,-32.0599,-19.514,77.8048,3.84,3.65,0,3.6,0,1.189,82.6
424,0,TRUE,1,17,-0.5062,-0.4693,-0.602,49.6357,281.1825,,,4.3833,7.7844,-32.2498,-19.675,78.3631,3.84,3.64,20.8333,3.6,0,1.193,83.3682
425,0,TRUE,1,17,-0.5082,-0.4704,-0.602,50.6633,285.4071,,,4.3826,7.7837,-32.1775,-19.382,80.5966,3.84,3.65,0,3.4,0,1.214,85.2886
426,0,TRUE,1,17,-0.507,-0.4695,-0.603,50.6751,277.3478,,,4.3822,7.7493,-32.6223,-19.896,79.7753,3.83,3.66,0,3.6,0,1.2,84.5352
427,0,TRUE,1,17,-0.508,-0.4729,-0.601,50.8995,283.8915,,,4.3834,7.7532,-32.7588,-19.871,80.3898,3.82,3.66,21.9539,3.4,0,1.21,85.1113
428,0,TRUE,1,17,-0.5073,-0.4723,-0.602,51.0738,285.8177,,,4.3831,7.746,-32.5673,-19.765,81.2997,3.84,3.66,26.3158,3.4,0,1.214,86.234
429,0,TRUE,1,17,-0.5084,-0.4776,-0.604,51.8887,291.809,,,4.382,7.7697,-32.7503,-19.841,81.6867,3.84,3.66,14.6092,3.4,0,1.242,87.5044
430,0,TRUE,1,17,-0.507,-0.4787,-0.606,52.0009,292.1339,,,4.3828,7.7493,-33.1009,-20.274,82.2598,3.83,3.67,0,3.4,0,1.239,86.7954
431,0,TRUE,1,17,-0.5067,-0.4699,-0.601,51.2923,272.7303,,,4.3846,7.7915,-32.0447,-19.663,80.183,3.84,3.66,21.9202,3.4,0,1.201,84.7568
432,0,TRUE,1,17,-0.5067,-0.4703,-0.601,51.1062,273.7702,,,4.3859,7.7445,-32.0239,-19.547,80.6232,3.81,3.64,21.9298,3.4,0,1.199,85.0818
433,0,TRUE,1,17,-0.5066,-0.4821,-0.609,50.6515,286.7897,,,4.3841,7.7512,-31.0679,-18.772,80.375,3.81,3.64,21.925,3.4,0,1.217,84.742
434,0,TRUE,1,17,-0.5068,-0.4818,-0.608,50.6663,285.3185,,,4.3836,7.757,-31.5313,-19.247,80.4282,3.82,3.64,16.4474,3.4,0,1.205,84.8454
435,0,TRUE,1,17,-0.5067,-0.483,-0.609,51.7706,292.6598,,,4.3839,7.7669,-31.3318,-18.962,81.8846,3.84,3.67,26.3158,3.4,0,1.236,86.8545
436,0,TRUE,1,17,-0.5063,-0.4829,-0.608,52.057,279.7378,,,4.3841,7.7664,-31.072,-18.831,80.9363,3.83,3.66,0,3.4,0,1.23,85.5693
437,0,TRUE,1,17,-0.5064,-0.4833,-0.608,52.2637,275.9889,,,4.3837,7.7158,-32.367,-19.813,81.8935,3.8,3.64,23.1481,3.2,0,1.235,86.7658
438,0,TRUE,1,17,-0.5061,-0.4841,-0.609,52.2047,291.2388,,,4.3817,7.7007,-32.4042,-19.637,82.8507,3.81,3.65,23.1481,3.2,0,1.25,87.9771
439,0,FALSE,3,4,-0.4976,-0.3916,-0.552,500.2967
440,0,FALSE,8,2,-0.3429,-0.2895
441,0,TRUE,1,17,-0.5063,-0.465,-0.602,52.3021,287.2801,,,4.3822,7.7372,-32.368,-19.615,82.7473,3.83,3.67,27.7778,3.2,0,1.244,87.3863
442,0,TRUE,1,17,-0.5061,-0.4653,-0.603,52.5738,278.5561,,,4.383,7.7616,-32.6617,-19.931,81.8078,3.83,3.66,18.7935,3.4,0,1.231,86.4556
443,0,TRUE,1,17,-0.5072,-0.4646,-0.601,51.9094,286.5386,,,4.3838,7.6886,-30.9493,-18.611,81.347,3.81,3.66,26.3227,3.4,0,1.233,86.2192
444,0,TRUE,1,17,-0.5069,-0.4643,-0.601,51.6377,293.3186,,,4.3838,7.7126,-30.8559,-18.487,82.0589,3.8,3.64,0,3.2,0,1.24,86.3079
445,0,TRUE,1,17,-0.5066,-0.4663,-0.603,50.8405,261.9147,,,4.3845,7.7311,-30.8052,-18.82,78.6615,3.83,3.65,21.9298,3.4,0,1.185,83.3534
446,0,TRUE,1,17,-0.5068,-0.4657,-0.602,50.7253,273.5634,,,4.3843,7.7343,-30.6625,-18.618,79.1667,3.82,3.64,21.925,3.4,0,1.203,83.8409
447,0,TRUE,1,17,-0.5072,-0.4667,-0.601,51.0678,278.3287,,,4.3837,7.74,-30.9698,-18.817,80.0766,3.83,3.67,21.9298,3.4,0,1.205,84.8602
448,0,TRUE,1,17,-0.506,-0.4646,-0.6,51.434,299.0322,,,4.3833,7.7435,-31.307,-18.956,81.3617,3.83,3.65,16.4474,3.4,0,1.233,86.4999
449,0,TRUE,1,17,-0.5067,-0.4729,-0.604,51.0206,286.9138,,,4.3847,7.6993,-31.9244,-19.557,80.6084,3.81,3.64,0,3.4,0,1.227,85.392
450,0,TRUE,1,17,-0.5078,-0.4825,-0.608,51.7795,301.047,,,4.3823,7.7428,-32.746,-19.886,81.9171,3.82,3.65,21.9298,3.4,0,1.25,86.751
451,0,TRUE,1,17,-0.5081,-0.4791,-0.606,52.0895,288.8843,,,4.3833,7.7268,-32.4246,-19.652,82.4666,3.85,3.66,21.9298,3.4,0,1.234,87.3863
452,0,TRUE,1,17,-0.5078,-0.4842,-0.609,50.6072,275.2119,,,4.3829,7.7587,-32.3507,-19.877,79.341,3.82,3.65,21.9298,3.4,0,1.199,83.767
453,0,TRUE,1,17,-0.5067,-0.4836,-0.61,50.5865,303.3927,,,4.3808,7.732,-32.7051,-19.842,81.3263,3.84,3.66,21.9298,3.4,0,1.238,86.4261
454,0,TRUE,1,17,-0.507,-0.4834,-0.61,50.8612,280.0303,,,4.3826,7.7843,-31.9268,-19.378,79.7989,3.84,3.65,0,3.6,0,1.209,84.2398
455,0,TRUE,1,17,-0.5076,-0.484,-0.609,50.4448,295.4752,,,4.3828,7.7615,-31.5761,-18.974,79.1874,3.84,3.64,20.8333,3.6,0,1.214,84.2841
456,0,TRUE,1,17,-0.5065,-0.4796,-0.606,49.5058,292.5032,,,4.3814,7.7615,-32.1905,-19.678,79.9585,3.82,3.64,20.8333,3.6,0,1.207,84.5795
457,0,TRUE,1,17,-0.5084,-0.4804,-0.606,49.5531,279.8294,,,4.3834,7.7652,-32.1734,-19.536,77.66,3.82,3.63,20.8333,3.6,0,1.191,82.1273
458,0,TRUE,1,17,-0.5077,-0.4871,-0.613,50.0787,272.9164,,,4.3819,7.7278,-31.7206,-19.093,78.7649,3.82,3.65,0,3.6,0,1.19,83.9
459,0,TRUE,1,17,-0.5062,-0.4869,-0.613,50.2942,296.3822,,,4.3813,7.79,-31.8875,-19.117,79.7398,3.85,3.65,26.2605,3.4,0,1.215,84.3727
460,0,TRUE,1,17,-0.5064,-0.4909,-0.616,49.8454,278.7009,,,4.3819,7.7658,-32.3583,-19.522,79.4326,3.83,3.64,20.8333,3.6,0,1.2,83.7375
461,0,TRUE,1,17,-0.5078,-0.494,-0.618,49.8395,286.0836,,,4.3835,7.7344,-32.4021,-19.651,78.9481,3.84,3.64,20.8333,3.6,0,1.208,83.3977
462,0,TRUE,1,17,-0.5071,-0.4813,-0.608,50.5127,269.3595,,,4.383,7.742,-31.5512,-19.204,78.8211,3.84,3.64,20.829,3.6,0,1.191,83.708
463,0,TRUE,1,17,-0.5076,-0.4807,-0.607,50.3415,284.1397,,,4.3824,7.7569,-31.8059,-19.21,80.0737,3.83,3.64,21.9298,3.4,0,1.203,84.8454
464,0,TRUE,1,17,-0.5076,-0.4695,-0.609,50.9261,284.2933,,,4.3829,7.8634,-32.4412,-19.565,79.6571,3.87,3.65,26.3158,3.4,0,1.209,84.9636
465,0,FALSE,3,4,-0.5077,-0.4774,-0.616,74.959
466,0,TRUE,1,17,-0.5078,-0.467,-0.601,50.0166,270.423,,,4.3832,7.7712,-32.2888,-19.784,78.4813,3.84,3.64,26.3158,3.4,0,1.187,83.2943
467,0,TRUE,1,17,-0.5081,-0.4676,-0.602,50.1761,275.0819,,,4.3836,7.7268,-32.4664,-19.788,78.7295,3.82,3.65,9.6154,3.6,0,1.194,83.25
468,0,TRUE,1,17,-0.5083,-0.4685,-0.605,50.5245,266.4968,,,4.3814,7.7476,-32.2646,-19.638,78.2657,3.83,3.65,25,3.6,0,1.186,82.9546
469,0,TRUE,1,17,-0.5083,-0.4673,-0.604,50.2115,268.7716,,,4.3815,7.7377,-31.9043,-19.469,78.2834,3.83,3.63,20.8333,3.6,0,1.183,82.7182
470,0,TRUE,1,17,-0.5082,-0.4716,-0.601,49.8218,270.0419,,,4.3812,7.7682,-32.1535,-19.631,77.9761,3.82,3.63,26.3158,3.4,0,1.182,82.1864
471,0,TRUE,1,17,-0.5084,-0.4716,-0.601,49.9103,272.2074,,,4.3805,7.7159,-32.2591,-19.681,78.3986,3.82,3.62,25,3.6,0,1.186,82.9546
472,0,TRUE,1,17,-0.5085,-0.4697,-0.6,51.0856,282.2371,,,4.3781,7.8011,-32.627,-20.171,78.9481,3.84,3.65,21.9298,3.4,0,1.208,83.4421
473,0,TRUE,1,17,-0.5078,-0.466,-0.598,50.935,277.274,,,4.3802,7.7245,-32.411,-19.573,80.954,3.81,3.64,21.9298,3.4,0,1.207,85.4068
474,0,TRUE,1,17,-0.5086,-0.4738,-0.602,51.3631,265.0344,,,4.3804,7.7505,-32.4932,-20.063,79.0101,3.84,3.66,0,3.4,0,1.191,83.6636
475,0,TRUE,1,17,-0.5087,-0.4792,-0.605,51.2332,289.3894,,,4.3798,7.7364,-31.845,-19.155,80.6882,3.85,3.64,69.8812,3.2,0,1.229,85.2147
476,0,TRUE,1,17,-0.5068,-0.4785,-0.606,51.8001,299.8062,,,4.3783,7.877,-32.4999,-19.712,81.3824,3.87,3.68,26.3158,3.4,0,1.241,86.1602
477,0,TRUE,1,17,-0.5073,-0.4743,-0.602,50.6308,285.6936,,,4.384,7.7793,-32.0659,-19.451,78.7531,3.83,3.66,21.925,3.4,0,1.202,83.2205
478,0,TRUE,1,17,-0.5083,-0.4758,-0.604,50.5924,285.2564,,,4.3819,7.7975,-31.853,-19.331,79.4799,3.84,3.65,21.9394,3.4,0,1.21,84.5352
479,0,TRUE,1,17,-0.5069,-0.4787,-0.607,49.5412,278.8811,,,4.3833,7.747,-30.3488,-18.254,77.8816,3.83,3.64,26.3296,3.4,0,1.186,82.2603
480,0,TRUE,1,17,-0.5063,-0.4802,-0.607,50.185,286.1841,,,4.3801,7.8522,-31.7817,-19.369,79.1017,3.85,3.67,43.8596,3.4,0,1.203,84.3875
481,0,TRUE,1,17,-0.5064,-0.4738,-0.602,50.0609,278.7541,,,4.3798,7.7538,-31.2941,-19.143,79.2258,3.81,3.65,0,3.4,0,1.201,83.5011
482,0,TRUE,1,17,-0.5069,-0.4702,-0.601,50.0491,271.6786,,,4.381,7.7066,-30.8124,-18.679,78.5138,3.81,3.64,21.9298,3.4,0,1.196,83.2205
483,0,TRUE,1,17,-0.5079,-0.4695,-0.599,51.1801,280.2135,,,4.3808,7.7916,-30.7161,-18.348,80.3277,3.84,3.67,27.7778,3.2,0,1.2,84.742
484,0,TRUE,1,17,-0.5081,-0.4695,-0.599,51.4399,282.8841,,,4.379,7.723,-31.6985,-19.228,80.4932,3.83,3.66,21.9298,3.4,0,1.226,85.4511
485,0,TRUE,1,17,-0.5081,-0.4828,-0.609,51.9212,293.7706,,,4.3772,7.7104,-33.0366,-20.062,82.4932,3.79,3.66,18.797,3.4,0,1.253,87.3567
486,0,TRUE,1,17,-0.5073,-0.4814,-0.608,51.9124,305.5463,,,4.3758,7.7428,-32.8442,-20.035,82.6557,3.83,3.67,23.1267,3.2,0,1.289,88.3465
487,0,TRUE,1,17,-0.5066,-0.4819,-0.607,51.9389,282.8546,,,4.3787,7.7395,-32.8388,-19.917,81.6069,3.82,3.67,27.7778,3.2,0,1.235,86.4999
488,0,TRUE,1,17,-0.5084,-0.4838,-0.608,52.0216,299.0233,,,4.3783,7.738,-32.1338,-19.477,83.0811,3.82,3.67,23.1428,3.2,0,1.254,87.859
489,0,TRUE,1,17,-0.5068,-0.4791,-0.605,51.1387,290.9759,,,4.3779,7.6682,-31.4235,-18.991,81.282,3.81,3.66,26.3227,3.4,0,1.234,85.9533
490,0,TRUE,1,17,-0.5066,-0.478,-0.605,50.935,287.2771,,,4.3799,7.7619,-30.8487,-18.288,81.149,3.82,3.65,23.1428,3.2,0,1.229,86.1158
491,0,TRUE,1,17,-0.5079,-0.4685,-0.599,50.4005,278.6389,,,4.3822,7.7794,-31.1953,-18.959,79.5685,3.83,3.65,0,3.4,0,1.207,84.4318
492,0,TRUE,1,17,-0.5072,-0.4671,-0.6,50.0285,296.0424,,,4.3819,7.7095,-31.3448,-18.953,80.1977,3.8,3.64,18.7935,3.4,0,1.225,84.8159
493,0,TRUE,1,17,-0.5066,-0.4625,-0.601,50.2027,298.6688,,,4.3789,7.818,-31.3901,-18.828,80.3366,3.85,3.65,26.3158,3.4,0,1.217,85.067
494,0,TRUE,1,17,-0.5074,-0.4646,-0.601,50.0609,270.9814,,,4.3812,7.8047,-31.0399,-18.913,78.1623,3.85,3.65,21.9298,3.4,0,1.188,82.6
495,0,TRUE,1,17,-0.5073,-0.4744,-0.602,51.1889,284.8901,,,4.3845,7.83,-31.3881,-19.002,80.378,3.84,3.66,65.7895,3.4,0,1.217,85.4068
496,0,TRUE,1,17,-0.5076,-0.477,-0.604,50.9675,275.6846,,,4.3854,7.7301,-31.4805,-19.211,79.8728,3.81,3.65,26.3158,3.4,0,1.207,84.9488
497,0,TRUE,1,17,-0.5065,-0.4772,-0.606,50.8375,286.0984,,,4.3837,7.7145,-31.5894,-19.227,81.2406,3.84,3.64,21.9298,3.4,0,1.215,85.9386
498,0,TRUE,1,17,-0.5065,-0.4773,-0.605,50.8434,273.6875,,,4.3864,7.766,-31.2192,-19.07,78.7886,3.82,3.64,0,3.4,0,1.207,84.092
499,0,TRUE,1,17,-0.5084,-0.4835,-0.608,50.495,269.4481,,,4.385,7.728,-30.967,-18.848,79.1135,3.81,3.64,18.8147,3.4,0,1.196,83.8852
500,0,TRUE,1,17,-0.507,-0.4823,-0.609,50.3769,260.6562,,,4.3837,7.7899,-31.3076,-19.218,78.6793,3.83,3.65,21.9298,3.4,0,1.178,83.2057
501,0,TRUE,1,17,-0.5083,-0.4842,-0.608,50.9675,285.7084,,,4.3803,7.7782,-32.8357,-20.094,80.6941,3.85,3.66,26.3227,3.4,0,1.22,85.4511
502,0,TRUE,1,17,-0.5085,-0.4844,-0.609,50.9556,284.5415,,,4.3783,7.8438,-32.6478,-19.986,80.8181,3.85,3.66,16.4474,3.4,0,1.218,85.6874
503,0,TRUE,1,17,-0.5075,-0.4843,-0.61,51.7499,279.986,,,4.3808,7.7948,-32.6669,-20.144,80.6616,3.84,3.64,16.4474,3.4,0,1.218,85.2295
504,0,TRUE,1,17,-0.5066,-0.4844,-0.611,50.8257,275.7289,,,4.3826,7.7907,-31.2655,-19.052,80.437,3.86,3.65,18.797,3.4,0,1.209,84.9193
505,0,TRUE,1,17,-0.5068,-0.4832,-0.609,50.0846,277.6137,,,4.3831,7.742,-31.7423,-19.351,79.211,3.83,3.64,0,3.4,0,1.203,84.2841
